,EIA,East Cheyenne Gas Storage,BayGas Storage,Freebird Gas Storage L.L.C.,"Caledonia Energy Partners, L.L.C."
2-Oct-20,75,71975,2253249,-9507,52792
25-Sep-20,76,157908,2634506,21948,138886
18-Sep-20,66,211349,2249277,115890,242558
11-Sep-20,89,346160,3075650,325983,414064
4-Sep-20,70,269818,1349312,225632,261793
28-Aug-20,35,-197443,585927,88791,-7326
21-Aug-20,45,-38425,2315617,30530,69530
14-Aug-20,43,121519,1968195,-31068,-122786
7-Aug-20,58,289384,1764395,475,-38353
31-Jul-20,33,179900,1491902,-278,-129692
24-Jul-20,26,118341,2390744,-167810,-252126
17-Jul-20,37,110180,1301338,10858,-121711
10-Jul-20,45,366137,1955903,5354,-153176
3-Jul-20,56,617830,1781860,85276,2969
26-Jun-20,65,525739,1421743,54934,-2324
19-Jun-20,120,653614,2507522,232310,176751
12-Jun-20,85,744925,928694,51439,-48768
5-Jun-20,93,531146,1691420,173369,62684
29-May-20,102,600429,1530830,71785,24822
22-May-20,109,587695,1033090,163798,88422
15-May-20,81,663523,1506426,61365,-20325
8-May-20,103,636369,1346822,259938,127789
1-May-20,109,647299,2449247,491938,475017
24-Apr-20,70,616944,2109791,404594,333774
17-Apr-20,43,397502,1636091,159842,-26567
10-Apr-20,73,416445,2408245,468003,332540
3-Apr-20,38,427016,2457211,371001,384680
27-Mar-20,-19,19931,2050764,158015,69492
20-Mar-20,-29,-4032,1343392,157737,258343
13-Mar-20,-9,202091,2259432,87596,291323
6-Mar-20,-48,-54735,1764039,-72422,226437
28-Feb-20,-109,-468155,1394220,-364562,-269117
21-Feb-20,-143,-520569,1116401,-450146,-310621
14-Feb-20,-151,-644576,1234038,-499154,-346117
7-Feb-20,-115,-609253,1357430,-110212,-18943
31-Jan-20,-137,-35002,1058608,-329055,-486358
24-Jan-20,-201,-8076,1103390,-277388,-659484
17-Jan-20,-92,143390,1618444,49646,-54998
10-Jan-20,-109,394063,1407312,-22170,-109592
3-Jan-20,-44,257099,1484691,244917,180708
27-Dec-19,-58,6409,1814164,122507,171713
20-Dec-19,-161,-414616,954996,-56419,-123162
13-Dec-19,-107,15186,1572290,-172078,-10090
6-Dec-19,-73,-259919,1720504,158755,18733
29-Nov-19,-19,-158554,2626430,401510,514390
22-Nov-19,-28,3382,2208159,251512,279610
15-Nov-19,-94,96043,2668977,-141484,-309466
8-Nov-19,3,177277,1866838,251530,397188
1-Nov-19,34,135091,1479607,498088,442947
25-Oct-19,89,355030,1322173,877514,628992
18-Oct-19,87,520408,1993900,921872,680949
11-Oct-19,104,383982,2604435,693205,661197
4-Oct-19,98,561877,2282233,273817,181063
27-Sep-19,112,398911,2943575,163968,281099
20-Sep-19,102,392873,2791634,210679,395357
13-Sep-19,84,370570,1499562,49693,-362959
6-Sep-19,78,447913,879134,9737,108818
30-Aug-19,84,520262,1115216,63253,160483
23-Aug-19,60,390383,1859800,-409657,-69940
16-Aug-19,59,332824,1757575,-364559,-301970
9-Aug-19,49,158018,1815098,-292189,-422155
2-Aug-19,55,251539,1757434,-412638,-564107
26-Jul-19,65,269102,2008256,-236387,-4814
19-Jul-19,36,288531,1048498,-312462,-411410
12-Jul-19,62,453893,2702161,-271681,-549755
5-Jul-19,81,500881,2403413,-342525,-434625
28-Jun-19,89,508565,1249644,30178,120
21-Jun-19,98,696264,1934359,190634,-114006
14-Jun-19,115,508898,2200792,53535,44004
7-Jun-19,102,375602,1486549,203695,34100
31-May-19,119,291336,1731927,138088,29359
24-May-19,114,326072,1629087,-7275,108235
17-May-19,100,131492,2042918,301231,214080
10-May-19,106,162859,1961683,261747,326521
3-May-19,85,202360,1497085,384902,372039
26-Apr-19,123,149846,2344484,574483,293089
19-Apr-19,92,69273,1675921,278924,514257
12-Apr-19,92,24003,1613149,588092,622978
5-Apr-19,25,-12073,2591051,202042,226064
29-Mar-19,23,17298,2259303,702563,508964
22-Mar-19,-36,-29830,2068267,-80820,-94604
15-Mar-19,-47,-44892,1807519,-32820,-147596
8-Mar-19,-200,-107441,-391679,-830819,-1062354
1-Mar-19,-149,-100203,819107,-617842,-568803
22-Feb-19,-166,-91402,524611,-431735,-488170
15-Feb-19,-177,-41150,941246,-232735,-179555
8-Feb-19,-78,-23179,1972422,658216,286342
1-Feb-19,-237,-99179,56659,-728137,-1202763
25-Jan-19,-173,-242474,1693870,-603072,-1125463
18-Jan-19,-163,-340145,1803095,-79848,-237520
11-Jan-19,-81,-336776,2706815,485980,100684
4-Jan-19,-91,-355843,2483647,314646,188708
28-Dec-18,-20,-447300,3053431,603674,524770
21-Dec-18,-48,-442300,2902278,447872,415554
14-Dec-18,-141,-507260,1588546,81838,88378
7-Dec-18,-77,-748003,1492867,-84670,229230
30-Nov-18,-63,155107,1618113,-142278,367886
23-Nov-18,-59,143954,969327,217618,652568
16-Nov-18,-134,72501,842896,-475542,29248
9-Nov-18,39,78628,1970041,532251,712988
2-Nov-18,65,262041,3409112,527528,509200
26-Oct-18,48,315585,2664580,285249,212583
19-Oct-18,58,235536,1954808,160117,242678
12-Oct-18,81,293683,1848743,271876,336179
5-Oct-18,90,505358,2047806,109303,49271
28-Sep-18,98,545430,928839,93260,-130221
21-Sep-18,46,457316,-152840,-195412,-779724
14-Sep-18,86,309297,473895,70872,-268894
7-Sep-18,69,276993,963144,-121252,-484355
31-Aug-18,63,-178077,1906693,-413126,-276685
24-Aug-18,69,-133386,1105526,-220434,-157388
17-Aug-18,49,-303210,1361200,-147310,-247600
10-Aug-18,33,-17946,382098,-135534,-149864
3-Aug-18,48,-199554,1493279,34786,18720
27-Jul-18,33,-309935,1521125,-189360,-100494
20-Jul-18,24,-664493,838952,-489360,-372245
13-Jul-18,45,-477627,1267693,-228544,-151633
6-Jul-18,51,-121045,1586296,-376380,-260474
29-Jun-18,78,735789,1452591,14364,-77726
22-Jun-18,66,215307,728740,-574684,-502226
15-Jun-18,95,-118930,1589388,-263284,-207897
8-Jun-18,96,-56385,1428034,198184,43123
1-Jun-18,92,523599,2009521,180104,169891
25-May-18,96,335329,1830478,273135,252333
18-May-18,91,223807,2403975,339461,272769
11-May-18,106,88371,2172969,431297,375074
4-May-18,89,-18172,2600835,465483,670617
27-Apr-18,62,-45935,2265499,588035,0
20-Apr-18,-18,-220638,2271997,-33369,90826
13-Apr-18,-36,-256320,1648754,-11349,59914
6-Apr-18,-19,-165619,1052279,-45276,32430
30-Mar-18,-29,-178331,965645,256812,163147
23-Mar-18,-63,-206488,1120859,494230,395911
16-Mar-18,-86,-164324,1685190,566578,348359
9-Mar-18,-93,-249999,1910402,455252,309605
2-Mar-18,-57,-291172,1483790,140212,737851
23-Feb-18,-78,-279696,1324003,87263,406467
16-Feb-18,-124,-321594,1258731,-9165,55039
9-Feb-18,-194,-389809,1649161,-324981,-157439
2-Feb-18,-119,-425220,2778032,-438530,-242802
26-Jan-18,-99,-455581,3925870,-495868,-229542
19-Jan-18,-288,-496980,-801648,-887744,-1237495
12-Jan-18,-183,-625148,2669036,-566800,-588026
5-Jan-18,-359,-640207,-2802714,-1091414,-1466946
29-Dec-17,-206,-977453,617467,-203440,-439024
22-Dec-17,-112,-780577,1407794,240640,220228
15-Dec-17,-182,-837092,1518726,-205256,-626120
8-Dec-17,-69,-193805,2283953,-19914,-193810
1-Dec-17,2,363337,2087910,96192,61472
24-Nov-17,-33,377292,2650201,-15868,-25698
17-Nov-17,-46,287417,2517917,28316,10816
10-Nov-17,-18,79340,719613,-10460,-19357
3-Nov-17,15,-132681,2040195,-81684,-60581
27-Oct-17,65,100753,3176187,69132,80996
20-Oct-17,65,400463,2184828,303212,326212
13-Oct-17,50,238252,452453,-106480,-152276
6-Oct-17,87,304152,1833100,157856,149050
