date,"Caledonia Energy Partners, L.L.C.",BayGas Storage,East Cheyenne Gas Storage,Freebird Gas Storage L.L.C.
2018-10-07 22:05:00,-15805,-74298,44407,-20857
2018-10-06 22:05:00,-15805,-12298,44407,-20857
2018-10-05 22:05:00,-15805,19773,32343,-52149
2018-10-04 22:05:00,-45805,-83426,44343,-82149
2018-10-03 22:05:00,-50805,4740,94907,-37149
2018-10-02 22:05:00,-15805,-42537,94907,-15000
2018-10-01 22:05:00,-15805,28896,93939,0
2018-09-30 22:05:00,-20667,6488,73435,-33343
2018-09-29 22:05:00,-20667,7595,71484,-33333
2018-09-28 22:05:00,-50667,-11307,71484,-63333
2018-09-27 22:05:00,-96667,13726,53984,-83333
2018-09-26 22:05:00,-50667,-96615,66484,-73333
2018-09-25 22:05:00,-20667,-76239,91484,-33333
2018-09-24 22:05:00,-20667,-151826,103998,-33333
2018-09-23 22:05:00,-20667,-152602,78998,-33333
2018-09-22 22:05:00,-20667,-74198,78998,-33333
2018-09-21 22:05:00,-20667,-172038,79448,-33333
2018-09-20 22:05:00,-165686,-276252,71484,-113333
2018-09-19 22:05:00,-171731,-81743,71484,-93333
2018-09-18 22:05:00,-136661,-65477,71484,-88333
2018-09-17 22:05:00,-126731,-268006,54484,-73333
2018-09-16 22:05:00,-96731,-219781,54484,-33333
2018-09-15 22:05:00,-101762,-260058,54448,-73333
2018-09-14 22:05:00,-50731,-165151,59448,-104333
2018-09-13 22:05:00,-134907,-199963,59443,-73333
2018-09-12 22:05:00,-86167,-177855,43943,-33333
2018-09-11 22:05:00,-99388,-96714,34542,-95333
2018-09-10 22:05:00,-21237,-99867,37307,-33333
2018-09-09 22:05:00,-21173,-21572,37307,-33333
2018-09-08 22:05:00,-21173,2063,37307,-33333
2018-09-07 22:05:00,-90988,-28144,46468,-43333
2018-09-06 22:05:00,-171631,-85332,46484,-139833
2018-09-05 22:05:00,-114888,-220711,46484,-135333
2018-09-04 22:05:00,-103867,-84393,47557,-78333
2018-09-03 22:05:00,-40667,84626,30000,0
2018-09-02 22:05:00,-20667,-102832,30000,0
2018-09-01 22:05:00,-20667,-102816,30000,0
2018-08-31 22:05:00,-7142,94968,-20560,0
2018-08-30 22:05:00,-37048,30023,-22925,-71000
2018-08-29 22:05:00,-82742,-12500,-22925,-60000
2018-08-28 22:05:00,-134243,-42745,-40120,-111000
2018-08-27 22:05:00,-47142,-57835,-20431,-122000
2018-08-26 22:05:00,-7143,37009,-25558,-62000
2018-08-25 22:05:00,-7143,121163,-25558,-62000
2018-08-24 22:05:00,0,32347,-10408,0
2018-08-23 22:05:00,-30000,-6679,-10456,-40000
2018-08-22 22:05:00,-40000,-19706,-10456,-93900
2018-08-21 22:05:00,-30000,-96332,-17940,-81000
2018-08-20 22:05:00,-61000,-123973,-28042,-40000
2018-08-19 22:05:00,-46000,-56428,-28042,-20000
2018-08-18 22:05:00,-31000,-55428,-28042,0
2018-08-17 22:05:00,-97606,-55427,-30591,-71000
2018-08-16 22:05:00,-131422,-101800,-50042,-91000
2018-08-15 22:05:00,-60000,-87956,-45042,-71000
2018-08-14 22:05:00,-30000,-102626,-53909,-30000
2018-08-13 22:05:00,0,-101641,-57542,0
2018-08-12 22:05:00,0,45644,-33042,0
2018-08-11 22:05:00,0,108487,-33042,0
2018-08-10 22:05:00,-15000,-110460,-50042,-20000
2018-08-09 22:05:00,-40000,-153343,92632,-40000
2018-08-08 22:05:00,-35000,-131549,61482,-30000
2018-08-07 22:05:00,-30000,-103645,-22892,-60000
2018-08-06 22:05:00,-45170,-297092,-33042,-40000
2018-08-05 22:05:00,-10204,-86396,-33042,0
2018-08-04 22:05:00,0,-86396,-33042,0
2018-08-03 22:05:00,-15000,-53257,-33042,-15000
2018-08-02 22:05:00,-30000,-21376,-50042,-40000
2018-08-01 22:05:00,0,-49196,-49943,0
2018-07-31 22:05:00,-10,46408,-25448,0
2018-07-30 22:05:00,-45,162464,-13693,0
2018-07-29 22:05:00,-15045,86716,-13693,-20000
2018-07-28 22:05:00,-45045,593,-13693,-45000
2018-07-27 22:05:00,-30045,-103294,-25693,-60000
2018-07-26 22:05:00,-40045,-94586,-71233,-60000
2018-07-25 22:05:00,-30045,-89613,-59197,-40000
2018-07-24 22:05:00,-35,1578,-13693,0
2018-07-23 22:05:00,-35,52235,-88733,0
2018-07-22 22:05:00,-35,-50584,-25693,0
2018-07-21 22:05:00,-30035,40568,-25693,-40000
2018-07-20 22:05:00,-60035,-56998,-105233,-80000
2018-07-19 22:05:00,-45035,-96412,-103733,-60000
2018-07-18 22:05:00,-45035,-128165,-89774,-60000
2018-07-17 22:05:00,-70035,-206664,-102233,-80000
2018-07-16 22:05:00,-60035,-130568,-85054,-80000
2018-07-15 22:05:00,-60035,-104412,-89233,-80000
2018-07-14 22:05:00,-60035,-123963,-89233,-60000
2018-07-13 22:05:00,-65035,-34382,-102233,-100000
2018-07-12 22:05:00,-45035,-113412,-99486,-60000
2018-07-11 22:05:00,-40035,-143230,-88299,-40000
2018-07-10 22:05:00,-30035,-124643,-13693,-40000
2018-07-09 22:05:00,-30035,-116492,-59328,-40000
2018-07-08 22:05:00,-35,1588,-57294,0
2018-07-07 22:05:00,-35,3588,-57294,0
2018-07-06 22:05:00,-40035,46041,-83233,-40000
2018-07-05 22:05:00,-35035,9090,-8083,-50000
2018-07-04 22:05:00,-35000,-23376,-8083,-50000
2018-07-03 22:05:00,-35000,-109412,-13083,-50000
2018-07-02 22:05:00,-45035,-165782,-18233,-60000
2018-07-01 22:05:00,-45035,-58322,0,-80000
2018-06-30 22:05:00,-57834,197521,9670,-57200
2018-06-29 22:05:00,-27834,166099,9732,-17200
2018-06-28 22:05:00,-57834,-11423,178080,-57200
2018-06-27 22:05:00,-27834,-7413,142135,-17200
2018-06-26 22:05:00,-27834,-95900,127454,-17200
2018-06-25 22:05:00,-67834,-37865,92796,-44000
2018-06-24 22:05:00,-27834,-21761,92796,-4000
2018-06-23 22:05:00,-27834,53605,92796,-4000
2018-06-22 22:05:00,-27834,-39663,35165,-17200
2018-06-21 22:05:00,-92834,-101705,-14886,-117200
2018-06-20 22:05:00,-112834,24982,402,-117200
2018-06-19 22:05:00,-121334,-61370,39804,-144200
2018-06-18 22:05:00,-87834,-208314,75214,-97200
2018-06-17 22:05:00,-57834,11245,39804,-57200
2018-06-16 22:05:00,-87834,22463,39804,-77200
2018-06-15 22:05:00,-121334,19247,-60736,-144200
2018-06-14 22:05:00,-72834,37597,-54736,-62200
2018-06-13 22:05:00,-52834,50464,-196,-42200
2018-06-12 22:05:00,-27834,15630,37305,-4000
2018-06-11 22:05:00,-52834,49694,-37381,-29000
2018-06-10 22:05:00,-27834,53816,-1593,-17200
2018-06-09 22:05:00,-27834,55316,-1593,-17200
2018-06-08 22:05:00,-27834,-22130,4391,-4000
2018-06-07 22:05:00,-27834,67691,-19736,-4000
2018-06-06 22:05:00,-27834,43000,-26236,-4000
2018-06-05 22:05:00,-27834,-111246,20787,-4000
2018-06-04 22:05:00,-27834,-181490,-35591,-4000
2018-06-03 22:05:00,-27834,-125720,0,-4000
2018-06-02 22:05:00,-27834,24288,0,-4000
2018-06-01 22:05:00,-67834,13092,0,-44000
2018-05-31 22:05:00,-7925,-32649,22245,-1985
2018-05-30 22:05:00,-7920,-6912,-170,-1935
2018-05-29 22:05:00,-7920,-4326,125381,-1935
2018-05-28 22:05:00,-7920,84587,125381,-1935
2018-05-27 22:05:00,-7920,83443,125381,-1935
2018-05-26 22:05:00,-7920,133127,125381,-1935
2018-05-25 22:05:00,-7920,35815,23134,-1935
2018-05-24 22:05:00,-7920,-85009,-187,-1935
2018-05-23 22:05:00,-7920,-211789,112406,-1935
2018-05-22 22:05:00,-7920,37906,60660,-1935
2018-05-21 22:05:00,-7920,73420,93596,-1935
2018-05-20 22:05:00,-7920,117424,22860,-1935
2018-05-19 22:05:00,-7920,135385,22860,-1935
2018-05-18 22:05:00,-7920,78353,59412,-1935
2018-05-17 22:05:00,-7920,104303,23152,-1935
2018-05-16 22:05:00,-12920,4303,21274,-1935
2018-05-15 22:05:00,-7920,26532,18003,-1935
2018-05-14 22:05:00,-7920,138330,57280,-1935
2018-05-13 22:05:00,-7920,164694,22343,-1935
2018-05-12 22:05:00,-7920,125812,22343,-1935
2018-05-11 22:05:00,-7920,55154,23152,-1935
2018-05-10 22:05:00,-7920,108181,23152,-1935
2018-05-09 22:05:00,-7920,-20770,23152,-1935
2018-05-08 22:05:00,-7920,33765,23152,-1935
2018-05-07 22:05:00,-7920,-54620,-30239,-1935
2018-05-06 22:05:00,-7920,112960,13001,-1935
2018-05-05 22:05:00,-7920,113994,13001,-1935
2018-05-04 22:05:00,-7920,116718,23152,-1935
2018-05-03 22:05:00,-7920,139603,-152,-1935
2018-05-02 22:05:00,-7920,102871,-152,-1935
2018-05-01 22:05:00,-7920,57463,-2061,-1935
2018-04-30 22:05:00,0,-23816,-813,0
2018-04-29 22:05:00,0,65817,-19073,0
2018-04-28 22:05:00,0,143496,-19073,0
2018-04-27 22:05:00,0,94023,-973,0
2018-04-26 22:05:00,0,75947,-14928,0
2018-04-25 22:05:00,0,100148,-29172,0
2018-04-24 22:05:00,0,-8600,-964,0
2018-04-23 22:05:00,0,-7052,34,0
2018-04-22 22:05:00,0,48094,34,0
2018-04-21 22:05:00,0,79386,34,0
2018-04-20 22:05:00,0,69284,34,0
2018-04-19 22:05:00,0,-65,-39912,-51000
2018-04-18 22:05:00,0,112173,-38112,0
2018-04-17 22:05:00,0,196148,-61912,-50000
2018-04-16 22:05:00,0,95680,-26912,0
2018-04-15 22:05:00,0,90493,-26912,0
2018-04-14 22:05:00,0,-172407,-26912,0
2018-04-13 22:05:00,0,83408,-16912,0
2018-04-12 22:05:00,0,131255,-19172,0
2018-04-11 22:05:00,0,-29457,-41912,0
2018-04-10 22:05:00,0,-58773,-26928,0
2018-04-09 22:05:00,-40000,-82304,-30132,-50000
2018-04-08 22:05:00,-40000,-48148,-60632,-50000
2018-04-07 22:05:00,-20000,-47182,-60632,-30000
2018-04-06 22:05:00,-40000,-30159,-29172,-50000
2018-04-05 22:05:00,-40000,-27008,-29172,-50000
2018-04-04 22:05:00,-40000,-67362,-61878,-50000
2018-04-03 22:05:00,-40000,-57397,-37412,-50000
2018-04-02 22:05:00,0,71266,-7985,0
2018-04-12 10:58:00,0,52888,-5437,0
2018-04-12 10:57:00,-12574,36761,-35271,-3040
2018-04-12 10:56:00,-12081,-15667,-35190,-3032
2018-03-28 22:05:00,-25081,797,-25266,-23032
2018-03-27 22:05:00,-44081,-132476,-40211,-43032
2018-03-26 22:05:00,-42581,-107142,-37618,-43032
2018-03-25 22:05:00,-2581,-46246,-37618,-3032
2018-03-24 22:05:00,-2581,9771,-37618,-3032
2018-03-23 22:05:00,-2581,10084,-29536,-3032
2018-03-22 22:05:00,-27581,-5294,-29511,-23032
2018-03-21 22:05:00,-52581,-36228,-29511,-53032
2018-03-20 22:05:00,-12581,-91409,-39588,-3032
2018-03-19 22:05:00,-6581,-202839,-26114,-3032
2018-03-18 22:05:00,-2581,-20731,-26114,-3032
2018-03-17 22:05:00,-2581,107865,-26114,-3032
2018-03-16 22:05:00,-2581,44358,-32190,-3032
2018-03-15 22:05:00,-23581,68536,-30290,-23032
2018-03-14 22:05:00,-50581,21961,-34290,-53032
2018-03-13 22:05:00,-52581,37962,-34830,-53032
2018-03-12 22:05:00,-42581,23938,-10908,-33032
2018-03-11 22:05:00,-10581,25992,-10908,-3032
2018-03-10 22:05:00,-2581,129144,-10908,-3032
2018-03-09 22:05:00,-45581,39409,-24356,-43032
2018-03-08 22:05:00,-52581,-30471,-35574,-43032
2018-03-07 22:05:00,-52581,22223,-36658,-43032
2018-03-06 22:05:00,-31581,19227,-37626,-28032
2018-03-05 22:05:00,-2581,12326,-38595,-3032
2018-03-04 22:05:00,-2581,8489,-38595,-3032
2018-03-03 22:05:00,-37581,3343,-38595,-38032
2018-03-02 22:05:00,-32581,-20491,-39525,-33032
2018-03-01 22:05:00,-2581,28940,-38646,-3032
2018-02-28 22:05:00,0,-44384,-42649,-16259
2018-02-27 22:05:00,-25000,54018,-40488,-41255
2018-02-26 22:05:00,0,-7944,-43288,-16255
2018-02-25 22:05:00,0,14899,-43288,-16255
2018-02-24 22:05:00,0,16615,-43288,-16255
2018-02-23 22:05:00,0,6755,-29521,-16255
2018-02-22 22:05:00,-6000,-42546,-28624,-16255
2018-02-21 22:05:00,-7000,-28716,-44001,-16255
2018-02-20 22:05:00,-7000,-32344,-46681,-16255
2018-02-19 22:05:00,-8000,-9398,-43623,-16255
2018-02-18 22:05:00,-9000,4560,-43623,-16255
2018-02-17 22:05:00,-10000,4560,-43623,-16255
2018-02-16 22:05:00,-10000,17620,-43623,-16255
2018-02-15 22:05:00,-10000,-48954,-47038,-16255
2018-02-14 22:05:00,-10000,-14666,-52019,-16255
2018-02-13 22:05:00,-20000,-112053,-34746,-16255
2018-02-12 22:05:00,-35000,-123841,-48056,-71255
2018-02-11 22:05:00,-10000,-75086,-48056,-46255
2018-02-10 22:05:00,-7000,-64386,-48056,-46255
2018-02-09 22:05:00,-20000,-37614,-57084,-46255
2018-02-08 22:05:00,-60000,-117471,-51266,-86255
2018-02-07 22:05:00,-45000,-345,-53623,-71255
2018-02-06 22:05:00,-43254,15555,-54949,-46255
2018-02-05 22:05:00,-45000,45329,-57629,-71255
2018-02-04 22:05:00,-20000,40329,-57629,-46255
2018-02-03 22:05:00,-20000,40329,-57629,-46255
2018-02-02 22:05:00,-97500,-42103,-54681,-96255
2018-02-01 22:05:00,-20000,8348,-54692,-46255
2018-01-31 22:05:00,-89776,-5167,-62474,-106392
2018-01-30 22:05:00,-74774,-126944,-56903,-106392
2018-01-29 22:05:00,-39774,40234,-60704,-81392
2018-01-28 22:05:00,-39774,127561,-67883,-81392
2018-01-27 22:05:00,-39774,127559,-67883,-81392
2018-01-26 22:05:00,-79774,108761,-59724,-121392
2018-01-25 22:05:00,-84774,186480,-49746,-121392
2018-01-24 22:05:00,-79774,175614,-67227,-121392
2018-01-23 22:05:00,-39774,55447,-77161,-81392
2018-01-22 22:05:00,-49774,35437,-67241,-81392
2018-01-21 22:05:00,-49774,11630,-67241,-81392
2018-01-20 22:05:00,-49774,25728,-67241,-81392
2018-01-19 22:05:00,-102274,-253099,-67211,-81392
2018-01-18 22:05:00,-222274,-574125,-36181,-131392
2018-01-17 22:05:00,-221751,-767656,-74696,-131392
2018-01-16 22:05:00,-202421,-129109,-79723,-131392
2018-01-15 22:05:00,-162925,-114307,-79723,-131392
2018-01-14 22:05:00,-162925,-117044,-79723,-141392
2018-01-13 22:05:00,-162925,-109670,-79723,-141392
2018-01-12 22:05:00,-124774,79083,-85541,-111392
2018-01-11 22:05:00,-57274,150056,-94664,-81392
2018-01-10 22:05:00,-64774,171241,-102221,-81392
2018-01-09 22:05:00,-64774,160856,-96305,-81392
2018-01-08 22:05:00,-127274,103760,-82139,-106392
2018-01-07 22:05:00,-121830,-217002,-82139,-111392
2018-01-06 22:05:00,-149774,-126231,-82139,-121392
2018-01-05 22:05:00,-214608,-478120,-114629,-160792
2018-01-04 22:05:00,-254460,-572482,-114637,-171392
2018-01-03 22:05:00,-254774,-732800,-114585,-174392
2018-01-02 22:05:00,-211858,-961279,-114527,-191391
2018-01-01 22:05:00,-221858,-756828,0,-201391
2017-12-31 22:05:00,-159708,-245727,-70318,-102440
2017-12-30 22:05:00,-149680,-195741,-111511,-102440
2017-12-29 22:05:00,-129680,-279254,-111511,-92440
2017-12-28 22:05:00,-125160,-161991,-111511,-52440
2017-12-27 22:05:00,-84360,-129350,-111511,-42440
2017-12-26 22:05:00,-80160,-60366,-160730,-62440
2017-12-25 22:05:00,-20160,-40345,-160730,-2440
2017-12-24 22:05:00,-20160,-54505,-160730,-2440
2017-12-23 22:05:00,-20160,-84867,-160730,-2440
2017-12-22 22:05:00,-20160,35283,-111511,-2440
2017-12-21 22:05:00,-20160,-7952,-111511,-2440
2017-12-20 22:05:00,-60160,30454,-111511,-2440
2017-12-19 22:05:00,-30160,1345,-111511,-2440
2017-12-18 22:05:00,-20160,-43598,-111511,-2440
2017-12-17 22:05:00,-20160,40910,-111511,-2440
2017-12-16 22:05:00,-20160,40917,-111511,-2440
2017-12-15 22:05:00,-60160,-16651,-105420,-42440
2017-12-14 22:05:00,-70160,8154,-111511,-22440
2017-12-13 22:05:00,-100160,-30116,-105420,-28440
2017-12-12 22:05:00,-70160,32292,-111511,-2440
2017-12-11 22:05:00,-100160,-95826,-134410,-32440
2017-12-10 22:05:00,-130160,-112661,-134410,-62440
2017-12-09 22:05:00,-95160,-32368,-134410,-27440
2017-12-08 22:05:00,-60160,-86630,-105420,-27440
2017-12-07 22:05:00,-67360,16858,-123884,-22440
2017-12-06 22:05:00,-20160,31820,-450,-2440
2017-12-05 22:05:00,-20160,99543,459,-2440
2017-12-04 22:05:00,-20160,62306,12136,-2440
2017-12-03 22:05:00,-20160,91207,11677,-2440
2017-12-02 22:05:00,-20160,58734,11677,-2440
2017-12-01 22:05:00,-20160,63113,0,-2440
2017-11-30 22:05:00,0,-35270,43142,0
2017-11-29 22:05:00,0,28886,42473,0
2017-11-28 22:05:00,0,44348,49600,0
2017-11-27 22:05:00,0,-111866,76040,0
2017-11-26 22:05:00,0,31436,76041,0
2017-11-25 22:05:00,0,31436,76041,0
2017-11-24 22:05:00,0,62463,76041,0
2017-11-23 22:05:00,0,33490,76041,0
2017-11-22 22:05:00,0,-21147,42879,0
2017-11-21 22:05:00,-45000,15792,44973,-45000
2017-11-20 22:05:00,-45000,45763,45786,-45000
2017-11-19 22:05:00,-25000,53563,45786,-25000
2017-11-18 22:05:00,0,78563,45786,0
2017-11-17 22:05:00,0,154230,47394,0
2017-11-16 22:05:00,0,100008,38882,0
2017-11-15 22:05:00,0,-3467,38882,0
2017-11-14 22:05:00,0,-98678,38882,0
2017-11-13 22:05:00,0,-61257,6529,0
2017-11-12 22:05:00,0,-3279,58424,0
2017-11-11 22:05:00,-30000,26721,58424,-30000
2017-11-10 22:05:00,-40000,-50149,38882,-40000
2017-11-09 22:05:00,-20000,-26924,-46140,-20000
2017-11-08 22:05:00,-25000,-17596,-8770,-25000
2017-11-07 22:05:00,-45000,-76011,-81609,-45000
2017-11-06 22:05:00,0,-157279,67163,0
2017-11-05 22:05:00,0,-55636,54907,0
2017-11-04 22:05:00,0,-55666,54907,0
2017-11-03 22:05:00,0,-229220,46383,0
2017-11-02 22:05:00,0,-246604,-25557,0
2017-11-01 22:05:00,0,-340663,60655,0
2017-10-31 22:05:00,-60000,227702,-187986,-60000
2017-10-30 22:05:00,-40000,227861,-83110,-40000
2017-10-29 22:05:00,-40000,228286,28467,-40000
2017-10-28 22:05:00,0,101236,28467,0
2017-10-27 22:05:00,0,102891,36805,0
2017-10-26 22:05:00,-39636,80177,-93873,-30000
2017-10-25 22:05:00,0,186179,29939,0
2017-10-24 22:05:00,0,97251,-43798,0
2017-10-23 22:05:00,0,72037,35140,0
2017-10-22 22:05:00,0,75804,68270,0
2017-10-21 22:05:00,0,189880,68270,0
2017-10-20 22:05:00,0,103090,34394,0
2017-10-19 22:05:00,0,84781,67202,0
2017-10-18 22:05:00,0,95989,42896,0
2017-10-17 22:05:00,0,-1887,45914,0
2017-10-16 22:05:00,0,-11105,70019,0
2017-10-15 22:05:00,0,-1184,70019,0
2017-10-14 22:05:00,0,-1184,70019,0
2017-10-13 22:05:00,0,30643,53809,0
2017-10-12 22:05:00,-28000,6088,-6933,0
2017-10-11 22:05:00,-40000,-87725,22382,-40000
2017-10-10 22:05:00,-60500,-212547,53734,-50000
2017-10-09 22:05:00,-45000,-321754,22948,-45000
2017-10-08 22:05:00,-40000,-197584,46156,-40000
2017-10-07 22:05:00,0,-110321,46156,0
2017-10-06 22:05:00,0,25268,46156,0
2017-10-05 22:05:00,0,101219,38963,0
2017-10-04 22:05:00,0,130445,72207,0
2017-10-03 22:05:00,0,64692,66827,0
2017-10-02 22:05:00,0,77724,74999,0
2017-10-01 22:05:00,0,90285,5000,0
